Date,Open,High,Low,Close,Volume
6/16/2020,26326.68,26611.03,25811.7,26289.98,489500000
6/15/2020,25270.39,25891.58,24843.18,25763.16,461230000
6/12/2020,25659.42,25965.55,25078.41,25605.54,514440000
6/11/2020,26282.51,26294.08,25082.72,25128.17,647780000
6/10/2020,27251.89,27355.22,26938.05,26989.99,448930000
6/9/2020,27447.37,27447.37,27151.06,27272.3,381430000
6/8/2020,27232.93,27580.21,27232.48,27572.44,430200000
6/5/2020,26836.8,27338.3,26836.8,27110.98,542310000
6/4/2020,26226.49,26384.1,26082.31,26281.82,372190000
6/3/2020,25906.88,26337.75,25906.88,26269.89,398790000
6/2/2020,25582.52,25743.13,25523.74,25742.65,352610000
6/1/2020,25342.99,25508.83,25220.66,25475.02,338310000
5/29/2020,25324.15,25482.8,25031.67,25383.11,527620000
5/28/2020,25697.36,25758.79,25358.73,25400.64,377800000
5/27/2020,25298.63,25551.56,25009.87,25548.27,411230000
5/26/2020,24781.84,25176.42,24781.84,24995.11,424380000
5/22/2020,24461.98,24481.64,24294.07,24465.16,255660000
5/21/2020,24564.27,24718.46,24370.88,24474.12,346770000
5/20/2020,24455.94,24649.48,24455.94,24575.9,366510000
5/19/2020,24577.48,24599.5,24202.96,24206.86,374100000
5/18/2020,24059.98,24708.54,24059.98,24597.37,484190000
5/15/2020,23454.83,23730.08,23354.15,23685.42,491510000
5/14/2020,23049.06,23630.86,22789.62,23625.34,472700000
5/13/2020,23702.16,23708.9,23067.64,23247.97,469950000
5/12/2020,24292.84,24382.09,23761.58,23764.78,359480000
5/11/2020,24256.45,24366.21,24070.22,24221.99,352400000
5/8/2020,24107.82,24349.9,24107.05,24331.32,335760000
5/7/2020,23837.21,24094.62,23834.39,23875.89,369890000
5/6/2020,23978.88,24054.59,23661.14,23664.64,377450000
5/5/2020,23958.88,24169.72,23868.91,23883.09,369710000
5/4/2020,23581.55,23769.56,23361.16,23749.76,355360000
5/1/2020,24120.78,24120.78,23645.3,23723.69,418160000
4/30/2020,24585.57,24585.57,24186.9,24345.72,487840000
4/29/2020,24490.37,24764.77,24453.99,24633.86,455290000
4/28/2020,24357.17,24512.24,24031.2,24101.55,400250000
4/27/2020,23866.15,24207.65,23840.61,24133.78,389390000
4/24/2020,23628.24,23826,23417.68,23775.27,376020000
4/23/2020,23543.09,23885.36,23483.35,23515.26,389290000
4/22/2020,23437.34,23613.1,23339.6,23475.82,352880000
4/21/2020,23365.25,23365.25,22941.88,23018.88,485140000
4/20/2020,24095.1,24108.69,23627.19,23650.44,423410000
4/17/2020,23817.15,24264.21,23817.15,24242.49,525950000
4/16/2020,23543.66,23598.08,23211.38,23537.68,471050000
4/15/2020,23600.72,23649.72,23233.32,23504.35,437630000
4/14/2020,23690.57,24040.58,23683.44,23949.76,485910000
4/13/2020,23698.93,23698.93,23095.35,23390.77,394320000
4/9/2020,23690.66,24008.99,23504.09,23719.37,566400000
4/8/2020,22893.47,23513.4,22682.99,23433.57,472740000
4/7/2020,23537.44,23617.24,22634.45,22653.86,594660000
4/6/2020,21693.63,22783.45,21693.63,22679.99,610760000
4/3/2020,21285.93,21447.81,20863.09,21052.53,450010000
